"id","name","name"
"CI10019","Acopiara","Brazil"
"CI10028","Tutoia","Brazil"
"CI10037","Capitao Poco","Brazil"
"CI10059","Delmiro Gouveia","Brazil"
"CI10062","Portel","Brazil"
"CI10065","Buique","Brazil"
"CI10067","Qal`ah-ye Now","Afghanistan"
"CI10078","Sao Miguel do Guama","Brazil"
"CI10081","Pau d'Alho","Brazil"
"CI10084","Ribeira do Pombal","Brazil"
"CI10087","Trairi","Brazil"
"CI10091","Casino","Australia"
"CI10093","Timbauba","Brazil"
"CI10099","Pontal","Brazil"
"CI10112","Macaubas","Brazil"
"CI10113","Bazar-e Yakawlang","Afghanistan"
"CI10114","Sao Joaquim da Barra","Brazil"
"CI10130","Guaxupe","Brazil"
"CI10137","Vargem Grande","Brazil"
"CI10139","Hamilton","Australia"
"CI10158","Karukh","Afghanistan"
"CI10159","Prudentopolis","Brazil"
"CI10162","Pocoes","Brazil"
"CI10169","Itapage","Brazil"
"CI10176","Xique-Xique","Brazil"
"CI10179","Inhumas","Brazil"
"CI10192","Mama Khel","Afghanistan"
"CI10204","Capao Bonito","Brazil"
"CI10225","Rondon do Para","Brazil"
"CI10228","Cornelio Procopio","Brazil"
"CI10234","Marechal Candido Rondon","Brazil"
"CI10243","Bocaiuva","Brazil"
"CI10258","Conceicao do Araguaia","Brazil"
"CI10271","Maragogipe","Brazil"
"CI10274","Nova Venecia","Brazil"
"CI10280","Livramento de Nossa Senhora","Brazil"
"CI10286","Paraguacu Paulista","Brazil"
"CI10296","Sao Sebastiao do Passe","Brazil"
"CI10299","Bom Conselho","Brazil"
"CI10303","Itabirito","Brazil"
"CI10306","Mamanguape","Brazil"
"CI10308","Joao Pinheiro","Brazil"
"CI10317","Seabra","Brazil"
"CI10320","Campo Maior","Brazil"
"CI10323","Tremembe","Brazil"
"CI10329","Baiao","Brazil"
"CI10335","Marau","Brazil"
"CI10342","Uruara","Brazil"
"CI10344","Presidente Dutra","Brazil"
"CI10377","Presidente Epitacio","Brazil"
"CI10386","Nova Vicosa","Brazil"
"CI10401","Orlandia","Brazil"
"CI10412","Mombaca","Brazil"
"CI10415","Currais Novos","Brazil"
"CI10418","Uniao","Brazil"
"CI10421","Araioses","Brazil"
"CI10425","Capao da Canoa","Brazil"
"CI10428","Sao Lourenco","Brazil"
"CI10433","Niquelandia","Brazil"
"CI10436","Porangatu","Brazil"
"CI10439","Remanso","Brazil"
"CI10449","Vargem Grande do Sul","Brazil"
"CI10455","Pedra Branca","Brazil"
"CI10457","Jaragua","Brazil"
"CI10460","Jardinopolis","Brazil"
"CI10463","Tramandai","Brazil"
"CI10466","Santa Maria da Vitoria","Brazil"
"CI10469","Borba","Brazil"
"CI10475","Almenara","Brazil"
"CI10478","Morrinhos","Brazil"
"CI10487","Sao Mateus do Sul","Brazil"
"CI10491","Southern Cross","Australia"
"CI10496","Jeremoabo","Brazil"
"CI10499","Mucuri","Brazil"
"CI10520","Rio Real","Brazil"
"CI10523","Caete","Brazil"
"CI10529","Barra de Sao Francisco","Brazil"
"CI10539","Augusto Correa","Brazil"
"CI10551","Tiete","Brazil"
"CI10555","Aguas Belas","Brazil"
"CI10560","Pojuca","Brazil"
"CI10563","Sao Jose de Mipibu","Brazil"
"CI10569","Guaira","Brazil"
"CI10572","Souma","Algeria"
"CI10573","Santo Antonio","Brazil"
"CI10581","Arcos","Brazil"
"CI10600","Sao Francisco do Conde","Brazil"
"CI10606","Salinas","Brazil"
"CI10612","Tuntum","Brazil"
"CI10615","Colinas","Brazil"
"CI10626","Makouda","Algeria"
"CI10636","Guariba","Brazil"
"CI10642","Boa Esperanca","Brazil"
"CI10645","Itiuba","Brazil"
"CI10648","Americo Brasiliense","Brazil"
"CI10661","Pitangueiras","Brazil"
"CI10671","Catende","Brazil"
"CI10677","Amarante do Maranhao","Brazil"
"CI10691","Esperantina","Brazil"
"CI10696","Chorfa","Algeria"
"CI10707","Porteirinha","Brazil"
"CI10709","Rio Pardo","Brazil"
"CI10711","Ouled Sidi Brahim","Algeria"
"CI10716","Igarape-Acu","Brazil"
"CI10719","Salinopolis","Brazil"
"CI10722","Sao Fidelis","Brazil"
"CI10731","Itarema","Brazil"
"CI10743","Jose de Freitas","Brazil"
"CI10745","El Adjiba","Algeria"
"CI10747","Timbo","Brazil"
"CI10755","Santaluz","Brazil"
